N_PROF,PRES,TEMP,PSAL,LATITUDE,LONGITUDE,JULD,float_id,file
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,79.2,25.461,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,89.7,23.931,35.304,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,99.4,21.169,35.131,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,109.3,19.968,35.104,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,119.6,19.708,35.101,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,129.3,18.546,35.108,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,129.3,18.546,35.108,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,129.3,18.546,35.108,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,129.3,18.546,35.108,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
